GX,GY,GZ,AX,AY,AZ,SX,SY,SZ,TA,TS
616.000000,-31.000000,978.000000,635.000000,-25.000000,1016.000000,66316.000000,8329.000000,111332.000000,129853.757439,42.906876
616.000000,-31.000000,978.000000,645.000000,-28.000000,1016.000000,66925.000000,8392.000000,112130.000000,130853.040427,47.895720
616.000000,-31.000000,978.000000,649.000000,-23.000000,1012.000000,67585.000000,8552.000000,112810.000000,131783.781358,48.052055
616.000000,-31.000000,978.000000,639.000000,-13.000000,1015.000000,68068.000000,8930.000000,113587.000000,132721.528370,47.138095
616.000000,-31.000000,978.000000,653.000000,-23.000000,1009.000000,68808.000000,9090.000000,114207.000000,133642.836744,48.928519
616.000000,-31.000000,978.000000,647.000000,-25.000000,1005.000000,69459.000000,9216.000000,114774.000000,134471.403700,41.545156
616.000000,-31.000000,978.000000,653.000000,-17.000000,1010.000000,70199.000000,9496.000000,115414.000000,135419.588734,50.882217
616.000000,-31.000000,978.000000,648.000000,-25.000000,1022.000000,70839.000000,9616.000000,116294.000000,136509.801161,54.735729
616.000000,-31.000000,978.000000,646.000000,-24.000000,1011.000000,71439.000000,9756.000000,116954.000000,137393.407313,45.144213
616.000000,-31.000000,978.000000,638.000000,-19.000000,1007.000000,71879.000000,9996.000000,117534.000000,138133.094561,38.327536
616.000000,-31.000000,978.000000,637.000000,-27.000000,1002.000000,72299.000000,10076.000000,118014.000000,138765.901334,32.140317
616.000000,-31.000000,978.000000,641.000000,-24.000000,1002.000000,72799.000000,10216.000000,118494.000000,139444.932117,35.355339
616.000000,-31.000000,978.000000,653.000000,-26.000000,1016.000000,73576.000000,10321.000000,119292.000000,140536.586272,53.272882
616.000000,-31.000000,978.000000,659.000000,-23.000000,995.000000,74436.000000,10481.000000,119632.000000,141288.304120,46.925473
616.000000,-31.000000,978.000000,641.000000,-21.000000,1020.000000,74936.000000,10681.000000,120472.000000,142277.864199,49.889879
616.000000,-31.000000,978.000000,648.000000,-17.000000,1024.000000,75608.000000,10975.000000,121438.000000,143471.976821,57.758116
616.000000,-31.000000,978.000000,643.000000,-31.000000,1009.000000,76175.000000,10975.000000,122089.000000,144321.880431,41.109610
616.000000,-31.000000,978.000000,636.000000,-17.000000,993.000000,76595.000000,11269.000000,122404.000000,144832.743542,28.653098
616.000000,-31.000000,978.000000,641.000000,-13.000000,1015.000000,77120.000000,11647.000000,123181.000000,145796.796158,48.145612
616.000000,-31.000000,978.000000,636.000000,-18.000000,993.000000,77540.000000,11920.000000,123496.000000,146307.211087,28.178006
616.000000,-31.000000,978.000000,642.000000,-15.000000,1276.000000,78086.000000,12256.000000,129754.000000,151933.319084,299.559677
616.000000,-31.000000,978.000000,649.000000,-17.000000,1014.000000,78812.000000,12564.000000,130546.000000,153007.985269,50.803543
616.000000,-31.000000,978.000000,635.000000,-36.000000,1006.000000,79192.000000,12464.000000,131106.000000,153673.378944,34.205263
616.000000,-31.000000,978.000000,637.000000,-30.000000,1012.000000,79612.000000,12484.000000,131786.000000,154471.585076,39.974992
616.000000,-31.000000,978.000000,655.000000,-28.000000,1000.000000,80392.000000,12544.000000,132226.000000,155254.438507,44.877611
616.000000,-31.000000,978.000000,632.000000,-27.000000,988.000000,80728.000000,12628.000000,132436.000000,155614.171797,19.287302
616.000000,-31.000000,978.000000,638.000000,-27.000000,1022.000000,81168.000000,12708.000000,133316.000000,156597.871454,49.355851
616.000000,-31.000000,978.000000,637.000000,-28.000000,992.000000,81609.000000,12771.000000,133610.000000,157082.014954,25.416530
